word,freq
exercício,3213
assumir,3209
declarações,3205
compromisso,3200
redução,3200
escândalo,3194
diretor,3191
imagem,3189
estadão,3186
lideranças,3183
decisões,3177
maria,3173
maiores,3168
municipais,3151
acusação,3138
alberto,3134
apresentar,3131
envolvimento,3126
marcos,3115
setores,3108
oliveira,3100
marta,3099
artigo,3095
setembro,3092
ditadura,3089
alguém,3084
confiança,3084
funcionários,3083
próximos,3078
premiada,3068
carvalho,3067
continuar,3067
cabral,3064
gerais,3051
órgão,3045
agência,3032
padilha,3030
curitiba,3024
morte,3022
senhor,3022
sair,3019
somente,3019
áreas,3013
cúpula,3011
joaquim,3010
professor,3010
ptb,3005
representantes,2994
cassação,2991
referência,2990
empresários,2987
recebido,2982
tal,2981
dirigentes,2979
aliado,2977
energia,2977
lembrou,2976
cultura,2967
envolvendo,2963
membros,2963
abril,2958
regras,2958
iniciativa,2957
youssef,2952
diálogo,2950
única,2948
maio,2940
regional,2936
disputar,2935
legislação,2931
manifestação,2926
série,2926
procuradores,2925
exterior,2921
constitucional,2920
grupos,2902
acabou,2901
necessário,2894
temas,2893
pressão,2890
fase,2885
órgãos,2884
emenda,2883
certo,2881
querem,2879
mostra,2876
sete,2876
belo,2869
ressaltou,2869
jogo,2868
mercadante,2866
tese,2859
veja,2858
recurso,2856
influência,2850
jornalistas,2842
transparência,2840
pagar,2836
possa,2832
forças,2826
afastamento,2817
procuradoria,2817
ambos,2810
chamado,2802
desses,2798
dizendo,2797
passar,2779
psol,2774
citou,2773
horizonte,2772
vereadores,2764
lima,2763
trabalhar,2763
entrar,2762
golpe,2756
estaduais,2755
partidária,2749
parecer,2748
valério,2748
capacidade,2741
menor,2741
santos,2740
carta,2735
sigilo,2734
serem,2731
rádio,2730
esquerda,2725
torno,2725
falcão,2722
irregularidades,2719
respondeu,2715
quero,2712
município,2711
governadores,2705
importantes,2705
levou,2705
sede,2705
gomes,2702
mão,2693
liderança,2692
quadro,2682
declaração,2680
receita,2680
ministérios,2677
participou,2676
eleitorado,2663
zona,2663
tendo,2660
fevereiro,2656
foro,2655
unidos,2648
atrás,2645
instituição,2639
julho,2638
adversário,2636
linha,2634
milhão,2630
apoiar,2623
empreiteira,2620
expectativa,2620
rua,2619
obra,2611
prb,2607
atividades,2605
conhecimento,2600
preocupação,2599
cardozo,2587
importância,2584
dizem,2582
pps,2582
operações,2577
collor,2573
passa,2570
internet,2569
aprovar,2567
âmbito,2563
planejamento,2557
mal,2551
perda,2551
perdeu,2550
dado,2549
administrativa,2546
diretório,2545
atenção,2542
média,2541
investigados,2540
site,2540
classe,2535
conversas,2535
tomar,2535
depoimentos,2531
machado,2521
senadora,2516
trata,2515
associação,2505
origem,2503
pergunta,2502
ex-deputado,2500
mim,2499
queda,2498
salário,2498
violência,2497
ajuste,2493
contou,2493
pedidos,2493
coligação,2490
luta,2490
réu,2489
amigo,2486
jurídica,2478
pec,2475
fundamental,2473
talvez,2472
porto,2471
fhc,2466
mostrar,2466
diretamente,2464
várias,2464
realidade,2459
atualmente,2457
via,2449
novembro,2438
presos,2438
registro,2437
cidadão,2430
ocasião,2427
diferente,2425
abrir,2423
entidade,2420
pmdb-rj,2420
sábado,2419
condenados,2412
haver,2408
petrobras,2403
articulação,2401
mello,2400
colocar,2397
emendas,2394
redes,2394
alexandre,2392
envolvidos,2389
voltar,2389
jorge,2387
minutos,2386
podemos,2386
sei,2385
universidade,2379
qualidade,2376
judicial,2373
comentou,2371
andré,2370
legal,2365
tcu,2365
militares,2362
prevê,2360
pra,2355
bahia,2354
fiscais,2353
considera,2352
homem,2351
policiais,2351
tratar,2351
acredita,2344
delator,2339
copa,2338
ajudar,2337
representação,2337
jornalista,2332
aprovado,2331
doleiro,2331
poderes,2330
data,2327
prova,2323
presente,2320
ajuda,2313
ganhar,2312
fizeram,2307
anterior,2305
avalia,2303
dessas,2302
diferentes,2300
efeito,2300
vaga,2296
assumiu,2293
ficha,2291
espécie,2287
jucá,2285
dificuldades,2282
cabe,2280
saiu,2269
termos,2267
seguinte,2263
realização,2262
condição,2260
executivos,2260
alto,2258
vargas,2258
estaria,2256
legislativa,2251
matéria,2251
coordenador,2250
fazem,2250
suspeita,2250
pai,2249
gilmar,2246
quadrilha,2244
ataques,2236
continua,2234
protestos,2234
conhecido,2232
democrático,2232
visita,2232
episódio,2229
modo,2229
previdência,2228
aprovada,2225
material,2225
pior,2223
anunciou,2221
perder,2209
terceiro,2209
seguida,2201
feitos,2197
limpa,2197
disposição,2193
paraná,2193
livre,2192
alta,2191
jamais,2189
contudo,2185
mãos,2185
usar,2184
solução,2180
certeza,2179
bolsa,2178
realizada,2174
estrutura,2170
pede,2169
curso,2168
mineiro,2168
