word,freq
santos,4449
queda,4444
quais,4441
pessoal,4437
alta,4428
mínimo,4425
with,4423
paraná,4422
respeito,4420
eleitorais,4418
tentativa,4408
recebido,4406
site,4401
salário,4400
protestos,4394
pesquisas,4390
sigilo,4386
poderá,4383
apresentar,4372
presença,4369
terça,4367
zona,4365
gabinete,4348
defende,4339
papel,4338
fica,4326
fundo,4326
internacional,4307
morte,4293
chapa,4292
discutir,4290
plano,4284
revista,4277
construção,4270
obra,4263
dizem,4262
deveria,4258
renda,4254
taxa,4251
municipal,4245
procurador-geral,4240
troca,4238
lima,4230
janot,4220
públicas,4201
rodrigo,4200
relações,4182
pdt,4178
quinta,4173
novembro,4165
busca,4152
mudanças,4148
íntegra,4146
conheça,4141
prática,4128
pretende,4124
criticou,4117
conversa,4106
voltou,4093
questionado,4084
diretor,4078
joaquim,4076
fatos,4073
manifestações,4069
legislativo,4058
redução,4057
oliveira,4045
liberdade,4028
mostra,4028
longo,4023
pede,4012
milhão,4010
maria,4001
campanhas,3996
pmdb-rj,3996
publicada,3996
demais,3990
indicação,3989
internet,3986
calheiros,3984
alberto,3983
tucanos,3981
países,3976
aliança,3972
gerais,3971
rua,3969
protesto,3968
aprovado,3957
doações,3949
premiada,3939
afastamento,3935
regras,3929
sede,3919
chegar,3913
francisco,3902
fase,3898
pois,3897
autoridades,3890
palocci,3890
juros,3879
espaço,3876
manifestação,3875
atos,3873
interesse,3870
acabou,3863
valério,3862
distrito,3858
investigar,3855
defender,3854
embora,3849
assumir,3846
parecer,3846
deverá,3842
padilha,3812
gilberto,3808
legenda,3795
curitiba,3791
envolvimento,3788
sabe,3781
saber,3769
algumas,3766
procurador,3762
celso,3750
ditadura,3750
estratégia,3738
intenção,3736
junto,3727
associação,3716
jornalista,3709
menor,3709
emenda,3708
investimentos,3706
agência,3700
forte,3699
hospital,3699
serviço,3698
papa,3695
chefe,3682
porto,3681
penal,3680
falou,3670
apresentou,3669
condenados,3654
eventual,3654
boa,3649
marcos,3649
divulgada,3647
procuradores,3642
vista,3641
cenário,3640
opinião,3640
